image_a,off_a,image_b,off_b,len,delta
4G0907379_0190,0xdd9ce,4G0907379H_0361,0xebdc2,61,0xe3f4
4G0907379_0190,0xe4f4e,4G0907379H_0361,0xf6432,61,0x114e4
4G0907379_0190,0xf5fb3,4G0907379H_0361,0x104d7b,61,0xedc8
4G0907379_0190,0xfe726,4G0907379H_0361,0x10e1b0,61,0xfa8a
4G0907379_0190,0xfe766,4G0907379H_0361,0x10e1f0,61,0xfa8a
4G0907379_0190,0xff578,4G0907379H_0361,0x110d38,61,0x117c0
4G0907379_0190,0x107372,4G0907379H_0361,0x11666a,61,0xf2f8
4G0907379_0190,0x10a984,4G0907379H_0361,0x119898,61,0xef14
4G0907379_0190,0x10dd6a,4G0907379H_0361,0x120706,61,0x1299c
4G0907379_0190,0x11733e,4G0907379H_0361,0x128406,61,0x110c8
4G0907379_0190,0x1190d2,4G0907379H_0361,0x12783a,61,0xe768
4G0907379_0190,0x11cad2,4G0907379H_0361,0x12eb56,61,0x12084
4G0907379_0190,0x12b74e,4G0907379H_0361,0x13de5a,61,0x1270c
4G0907379_0190,0x12b92a,4G0907379H_0361,0x13dab0,61,0x12186
4G0907379_0190,0x12e17e,4G0907379H_0361,0x1409f6,61,0x12878
4G0907379_0190,0x13633c,4G0907379H_0361,0x148ce4,61,0x129a8
4G0907379_0190,0x152a82,4G0907379H_0361,0x16824c,61,0x157ca
4G0907379_0190,0xe0ef3,4G0907379H_0361,0xf22af,60,0x113bc
4G0907379_0190,0xfead4,4G0907379H_0361,0x10e5d0,60,0xfafc
4G0907379_0190,0x100044,4G0907379H_0361,0x10fc58,60,0xfc14
4G0907379_0190,0x11358e,4G0907379H_0361,0x10b6fe,60,-0x7e90
4G0907379_0190,0x113821,4G0907379H_0361,0x1247c9,60,0x10fa8
4G0907379_0190,0x118356,4G0907379H_0361,0x12abce,60,0x12878
4G0907379_0190,0x131b10,4G0907379H_0361,0x1448a8,60,0x12d98
4G0907379_0190,0xdce08,4G0907379H_0361,0xeb162,59,0xe35a
4G0907379_0190,0xde828,4G0907379H_0361,0xeccdc,59,0xe4b4
4G0907379_0190,0xe0e20,4G0907379H_0361,0xf21dc,59,0x113bc
4G0907379_0190,0xe637b,4G0907379H_0361,0xf7843,59,0x114c8
4G0907379_0190,0xf563a,4G0907379H_0361,0x102e22,59,0xd7e8
4G0907379_0190,0xfabe2,4G0907379H_0361,0x10a5c0,59,0xf9de
4G0907379_0190,0xfc7aa,4G0907379H_0361,0x10d1d6,59,0x10a2c
4G0907379_0190,0xff842,4G0907379H_0361,0x110ffe,59,0x117bc
4G0907379_0190,0x100914,4G0907379H_0361,0x10e744,59,0xde30
4G0907379_0190,0x10ae94,4G0907379H_0361,0x11a61c,59,0xf788
4G0907379_0190,0x10ffa6,4G0907379H_0361,0x1218ca,59,0x11924
4G0907379_0190,0x11023c,4G0907379H_0361,0x122100,59,0x11ec4
4G0907379_0190,0x11a7ee,4G0907379H_0361,0x12c07e,59,0x11890
4G0907379_0190,0x11bffa,4G0907379H_0361,0x12e6ea,59,0x126f0
4G0907379_0190,0x120300,4G0907379H_0361,0x13241c,59,0x1211c
4G0907379_0190,0x126b2c,4G0907379H_0361,0x139184,59,0x12658
4G0907379_0190,0x12b46c,4G0907379H_0361,0x13d5e0,59,0x12174
4G0907379_0190,0x135ba0,4G0907379H_0361,0x14854c,59,0x129ac
4G0907379_0190,0x13c328,4G0907379H_0361,0x162988,59,0x26660
4G0907379_0190,0xddaa4,4G0907379H_0361,0xebe98,58,0xe3f4
4G0907379_0190,0xf2b9c,4G0907379H_0361,0x1054ac,58,0x12910
4G0907379_0190,0xf8af0,4G0907379H_0361,0x107f84,58,0xf494
4G0907379_0190,0x10188c,4G0907379H_0361,0x111c9c,58,0x10410
4G0907379_0190,0x1207c0,4G0907379H_0361,0x134880,58,0x140c0
4G0907379_0190,0x1238a8,4G0907379H_0361,0x1345a8,58,0x10d00
4G0907379_0190,0x133eac,4G0907379H_0361,0x146afc,58,0x12c50
4G0907379_0190,0x1358c8,4G0907379H_0361,0x1482ec,58,0x12a24
4G0907379_0190,0x14deff,4G0907379H_0361,0x166487,58,0x18588
4G0907379_0190,0x176ee8,4G0907379H_0361,0x170200,58,-0x6ce8
4G0907379_0190,0x176f60,4G0907379H_0361,0x170278,58,-0x6ce8
4G0907379_0190,0xdd3da,4G0907379H_0361,0xeb7d2,57,0xe3f8
4G0907379_0190,0xdd420,4G0907379H_0361,0xeb818,57,0xe3f8
4G0907379_0190,0xdd7b2,4G0907379H_0361,0xebba2,57,0xe3f0
4G0907379_0190,0xe113e,4G0907379H_0361,0xf24fa,57,0x113bc
4G0907379_0190,0xe654a,4G0907379H_0361,0xf7a1c,57,0x114d2
4G0907379_0190,0xfda90,4G0907379H_0361,0x10c458,57,0xe9c8
4G0907379_0190,0x108ef2,4G0907379H_0361,0x118572,57,0xf680
4G0907379_0190,0x10cddc,4G0907379H_0361,0x11cd90,57,0xffb4
4G0907379_0190,0x1115dc,4G0907379H_0361,0x1234b0,57,0x11ed4
4G0907379_0190,0x111a5c,4G0907379H_0361,0x123930,57,0x11ed4
4G0907379_0190,0x1199f6,4G0907379H_0361,0x12a69c,57,0x10ca6
4G0907379_0190,0x11f344,4G0907379H_0361,0x12c7cc,57,0xd488
4G0907379_0190,0x12b1ce,4G0907379H_0361,0x13d77a,57,0x125ac
4G0907379_0190,0x12e138,4G0907379H_0361,0x1409b0,57,0x12878
4G0907379_0190,0x12ff7a,4G0907379H_0361,0x14298a,57,0x12a10
4G0907379_0190,0x130e1e,4G0907379H_0361,0x143a0a,57,0x12bec
4G0907379_0190,0x13134c,4G0907379H_0361,0x14400c,57,0x12cc0
4G0907379_0190,0x134cb2,4G0907379H_0361,0x14765a,57,0x129a8
4G0907379_0190,0x17e880,4G0907379H_0361,0x16ee70,57,-0xfa10
4G0907379_0190,0xe78b1,4G0907379H_0361,0xf8d15,56,0x11464
4G0907379_0190,0xf73a4,4G0907379H_0361,0x106910,56,0xf56c
4G0907379_0190,0xfac40,4G0907379H_0361,0x10a61e,56,0xf9de
4G0907379_0190,0xfb902,4G0907379H_0361,0x10b2f2,56,0xf9f0
4G0907379_0190,0xfeb1a,4G0907379H_0361,0x10e616,56,0xfafc
4G0907379_0190,0x101f24,4G0907379H_0361,0x1117ac,56,0xf888
4G0907379_0190,0x112ca2,4G0907379H_0361,0x12118c,56,0xe4ea
4G0907379_0190,0x115cfe,4G0907379H_0361,0x126dda,56,0x110dc
4G0907379_0190,0x11f058,4G0907379H_0361,0x13143c,56,0x123e4
4G0907379_0190,0x123faa,4G0907379H_0361,0x136c52,56,0x12ca8
4G0907379_0190,0x12dd6a,4G0907379H_0361,0x13fc22,56,0x11eb8
4G0907379_0190,0x1536d9,4G0907379H_0361,0x168673,56,0x14f9a
4G0907379_0190,0xdce52,4G0907379H_0361,0xeb1ac,55,0xe35a
4G0907379_0190,0xdd57c,4G0907379H_0361,0xeb974,55,0xe3f8
4G0907379_0190,0xdd6dc,4G0907379H_0361,0xebace,55,0xe3f2
4G0907379_0190,0xdd872,4G0907379H_0361,0xebc62,55,0xe3f0
4G0907379_0190,0xdda18,4G0907379H_0361,0xebe0c,55,0xe3f4
4G0907379_0190,0xdda5c,4G0907379H_0361,0xebe50,55,0xe3f4
4G0907379_0190,0xe0e98,4G0907379H_0361,0xf2254,55,0x113bc
4G0907379_0190,0xed06e,4G0907379H_0361,0xfd81a,55,0x107ac
4G0907379_0190,0xed296,4G0907379H_0361,0xfda3e,55,0x107a8
4G0907379_0190,0xf4238,4G0907379H_0361,0x10114c,55,0xcf14
4G0907379_0190,0xf4d1c,4G0907379H_0361,0x102528,55,0xd80c
4G0907379_0190,0x100bf0,4G0907379H_0361,0x10edbc,55,0xe1cc
4G0907379_0190,0x101790,4G0907379H_0361,0x111c6c,55,0x104dc
4G0907379_0190,0x102edc,4G0907379H_0361,0x11385c,55,0x10980
4G0907379_0190,0x10d490,4G0907379H_0361,0x11dad8,55,0x10648
4G0907379_0190,0x10e374,4G0907379H_0361,0x11fbf4,55,0x11880
4G0907379_0190,0x110be4,4G0907379H_0361,0x122ff4,55,0x12410
4G0907379_0190,0x113bc4,4G0907379H_0361,0x120c12,55,0xd04e
4G0907379_0190,0x119710,4G0907379H_0361,0x1297c4,55,0x100b4
4G0907379_0190,0x11a866,4G0907379H_0361,0x12c0f6,55,0x11890
4G0907379_0190,0x126a0e,4G0907379H_0361,0x139066,55,0x12658
4G0907379_0190,0x126a6c,4G0907379H_0361,0x1390c4,55,0x12658
4G0907379_0190,0x12e78e,4G0907379H_0361,0x14124e,55,0x12ac0
4G0907379_0190,0x13523c,4G0907379H_0361,0x147cdc,55,0x12aa0
4G0907379_0190,0x138685,4G0907379H_0361,0x14b129,55,0x12aa4
4G0907379_0190,0x1386e4,4G0907379H_0361,0x14b160,55,0x12a7c
4G0907379_0190,0xdf435,4G0907379H_0361,0xed8dd,54,0xe4a8
4G0907379_0190,0xf0390,4G0907379H_0361,0xff808,54,0xf478
4G0907379_0190,0xf16d4,4G0907379H_0361,0x104e98,54,0x137c4
4G0907379_0190,0xf3fc4,4G0907379H_0361,0x1018dc,54,0xd918
4G0907379_0190,0xf4e48,4G0907379H_0361,0x102010,54,0xd1c8
4G0907379_0190,0xf51c4,4G0907379H_0361,0x102498,54,0xd2d4
4G0907379_0190,0xf7358,4G0907379H_0361,0x1068c4,54,0xf56c
4G0907379_0190,0xf939c,4G0907379H_0361,0x108a40,54,0xf6a4
4G0907379_0190,0xfe040,4G0907379H_0361,0x10da74,54,0xfa34
4G0907379_0190,0xfeff8,4G0907379H_0361,0x1107bc,54,0x117c4
4G0907379_0190,0xff781,4G0907379H_0361,0x110f3d,54,0x117bc
4G0907379_0190,0x100850,4G0907379H_0361,0x10f28c,54,0xea3c
4G0907379_0190,0x100d54,4G0907379H_0361,0x10eef0,54,0xe19c
4G0907379_0190,0x11c9fa,4G0907379H_0361,0x12ea7e,54,0x12084
4G0907379_0190,0x1208c0,4G0907379H_0361,0x1329d8,54,0x12118
4G0907379_0190,0x123e14,4G0907379H_0361,0x136abc,54,0x12ca8
4G0907379_0190,0x12a5e0,4G0907379H_0361,0x13cb90,54,0x125b0
4G0907379_0190,0x12bd2e,4G0907379H_0361,0x13e43e,54,0x12710
4G0907379_0190,0x12bd88,4G0907379H_0361,0x13e498,54,0x12710
4G0907379_0190,0x12de90,4G0907379H_0361,0x1405dc,54,0x1274c
4G0907379_0190,0x12e7c8,4G0907379H_0361,0x141288,54,0x12ac0
4G0907379_0190,0x12f946,4G0907379H_0361,0x14233e,54,0x129f8
4G0907379_0190,0x131ffc,4G0907379H_0361,0x1447e8,54,0x127ec
4G0907379_0190,0x1363a4,4G0907379H_0361,0x148db8,54,0x12a14
4G0907379_0190,0x13742e,4G0907379H_0361,0x149fde,54,0x12bb0
4G0907379_0190,0x137da0,4G0907379H_0361,0x14a9f4,54,0x12c54
4G0907379_0190,0x152c16,4G0907379H_0361,0x168326,54,0x15710
4G0907379_0190,0x159687,4G0907379H_0361,0x168a4b,54,0xf3c4
4G0907379_0190,0x15a2af,4G0907379H_0361,0x168b4b,54,0xe89c
4G0907379_0190,0x15aed7,4G0907379H_0361,0x168c4b,54,0xdd74
4G0907379_0190,0x15baff,4G0907379H_0361,0x168d4b,54,0xd24c
4G0907379_0190,0x15c727,4G0907379H_0361,0x168e4b,54,0xc724
4G0907379_0190,0x15d34f,4G0907379H_0361,0x168f4b,54,0xbbfc
4G0907379_0190,0x15df77,4G0907379H_0361,0x16904b,54,0xb0d4
4G0907379_0190,0xdd64e,4G0907379H_0361,0xeba46,53,0xe3f8
4G0907379_0190,0xdd8b6,4G0907379H_0361,0xebca6,53,0xe3f0
4G0907379_0190,0xdfa0a,4G0907379H_0361,0xedeb2,53,0xe4a8
4G0907379_0190,0xe7928,4G0907379H_0361,0xf8d90,53,0x11468
4G0907379_0190,0xf1888,4G0907379H_0361,0x1064a0,53,0x14c18
4G0907379_0190,0xf633c,4G0907379H_0361,0x103a5c,53,0xd720
4G0907379_0190,0xfc760,4G0907379H_0361,0x10d18c,53,0x10a2c
4G0907379_0190,0xfe9b2,4G0907379H_0361,0x10e474,53,0xfac2
4G0907379_0190,0x10893c,4G0907379H_0361,0x117fcc,53,0xf690
4G0907379_0190,0x10907c,4G0907379H_0361,0x1186f8,53,0xf67c
4G0907379_0190,0x10b1b6,4G0907379H_0361,0x11b106,53,0xff50
4G0907379_0190,0x1193ec,4G0907379H_0361,0x127ba8,53,0xe7bc
4G0907379_0190,0x1196b8,4G0907379H_0361,0x12976c,53,0x100b4
4G0907379_0190,0x122216,4G0907379H_0361,0x134ef6,53,0x12ce0
4G0907379_0190,0x122e6c,4G0907379H_0361,0x1356cc,53,0x12860
4G0907379_0190,0x123dd8,4G0907379H_0361,0x1361ac,53,0x123d4
4G0907379_0190,0x12ae60,4G0907379H_0361,0x13e610,53,0x137b0
4G0907379_0190,0x12d92a,4G0907379H_0361,0x13f51a,53,0x11bf0
4G0907379_0190,0x130cd4,4G0907379H_0361,0x1436e0,53,0x12a0c
4G0907379_0190,0x13322a,4G0907379H_0361,0x145bee,53,0x129c4
4G0907379_0190,0x133888,4G0907379H_0361,0x1463a4,53,0x12b1c
4G0907379_0190,0x135155,4G0907379H_0361,0x1479f5,53,0x128a0
4G0907379_0190,0x136754,4G0907379H_0361,0x1491dc,53,0x12a88
4G0907379_0190,0x13727c,4G0907379H_0361,0x149ecc,53,0x12c50
4G0907379_0190,0x152bba,4G0907379H_0361,0x1682c8,53,0x1570e
4G0907379_0190,0xde016,4G0907379H_0361,0xec40a,52,0xe3f4
4G0907379_0190,0xe7e00,4G0907379H_0361,0xf9260,52,0x11460
4G0907379_0190,0xf3884,4G0907379H_0361,0x100d40,52,0xd4bc
4G0907379_0190,0xf3f60,4G0907379H_0361,0x101878,52,0xd918
4G0907379_0190,0xf7c22,4G0907379H_0361,0x107214,52,0xf5f2
4G0907379_0190,0x101760,4G0907379H_0361,0x11177c,52,0x1001c
4G0907379_0190,0x10199c,4G0907379H_0361,0x111294,52,0xf8f8
4G0907379_0190,0x12ddd6,4G0907379H_0361,0x140522,52,0x1274c
4G0907379_0190,0x138486,4G0907379H_0361,0x14af12,52,0x12a8c
4G0907379_0190,0x176eb0,4G0907379H_0361,0x1773d4,52,0x524
4G0907379_0190,0xdd5c0,4G0907379H_0361,0xeb9b8,51,0xe3f8
4G0907379_0190,0xe7bac,4G0907379H_0361,0xf9010,51,0x11464
4G0907379_0190,0xecd7e,4G0907379H_0361,0xfd52a,51,0x107ac
4G0907379_0190,0xf0329,4G0907379H_0361,0xff7a1,51,0xf478
4G0907379_0190,0xf2250,4G0907379H_0361,0x106174,51,0x13f24
4G0907379_0190,0xf3b20,4G0907379H_0361,0x101398,51,0xd878
4G0907379_0190,0xf6068,4G0907379H_0361,0x10375c,51,0xd6f4
4G0907379_0190,0xffea4,4G0907379H_0361,0x10faac,51,0xfc08
4G0907379_0190,0x106310,4G0907379H_0361,0x116cac,51,0x1099c
4G0907379_0190,0x1065f8,4G0907379H_0361,0x116f90,51,0x10998
4G0907379_0190,0x10733e,4G0907379H_0361,0x116636,51,0xf2f8
4G0907379_0190,0x10c026,4G0907379H_0361,0x11bfd2,51,0xffac
4G0907379_0190,0x10d2fc,4G0907379H_0361,0x11d2b0,51,0xffb4
4G0907379_0190,0x10e564,4G0907379H_0361,0x11fde4,51,0x11880
4G0907379_0190,0x10fe10,4G0907379H_0361,0x121720,51,0x11910
4G0907379_0190,0x1120be,4G0907379H_0361,0x12bff6,51,0x19f38
4G0907379_0190,0x1137f9,4G0907379H_0361,0x1247a1,51,0x10fa8
4G0907379_0190,0x118d0a,4G0907379H_0361,0x129d9a,51,0x11090
4G0907379_0190,0x1202a2,4G0907379H_0361,0x12e636,51,0xe394
4G0907379_0190,0x120426,4G0907379H_0361,0x132542,51,0x1211c
4G0907379_0190,0x121f34,4G0907379H_0361,0x1350ae,51,0x1317a
4G0907379_0190,0x1274a8,4G0907379H_0361,0x139cda,51,0x12832
4G0907379_0190,0x12ad78,4G0907379H_0361,0x13e540,51,0x137c8
4G0907379_0190,0x12b988,4G0907379H_0361,0x13db10,51,0x12188
4G0907379_0190,0x12cca0,4G0907379H_0361,0x13f3ac,51,0x1270c
4G0907379_0190,0x12ce36,4G0907379H_0361,0x13f164,51,0x1232e
4G0907379_0190,0x12e274,4G0907379H_0361,0x140aec,51,0x12878
4G0907379_0190,0x131694,4G0907379H_0361,0x144198,51,0x12b04
4G0907379_0190,0x135729,4G0907379H_0361,0x14814d,51,0x12a24
4G0907379_0190,0x136308,4G0907379H_0361,0x148cb0,51,0x129a8
4G0907379_0190,0x136e68,4G0907379H_0361,0x149a10,51,0x12ba8
4G0907379_0190,0x13a660,4G0907379H_0361,0x16233a,51,0x27cda
4G0907379_0190,0x13d920,4G0907379H_0361,0x162e80,51,0x25560
4G0907379_0190,0x15369a,4G0907379H_0361,0x168634,51,0x14f9a
4G0907379_0190,0xdd388,4G0907379H_0361,0xeb76e,50,0xe3e6
4G0907379_0190,0xdd902,4G0907379H_0361,0xebcf2,50,0xe3f0
4G0907379_0190,0xde44e,4G0907379H_0361,0xec8b4,50,0xe466
4G0907379_0190,0xdf34c,4G0907379H_0361,0xed7f6,50,0xe4aa
4G0907379_0190,0xe0485,4G0907379H_0361,0xf1841,50,0x113bc
4G0907379_0190,0xecdb4,4G0907379H_0361,0xfd560,50,0x107ac
4G0907379_0190,0xefd4c,4G0907379H_0361,0xff628,50,0xf8dc
4G0907379_0190,0xf035d,4G0907379H_0361,0xff7d5,50,0xf478
4G0907379_0190,0xf467c,4G0907379H_0361,0x102b50,50,0xe4d4
4G0907379_0190,0xf5124,4G0907379H_0361,0x10348c,50,0xe368
4G0907379_0190,0xf6694,4G0907379H_0361,0x103ea0,50,0xd80c
4G0907379_0190,0x101110,4G0907379H_0361,0x10eb9c,50,0xda8c
4G0907379_0190,0x101e00,4G0907379H_0361,0x111d1c,50,0xff1c
4G0907379_0190,0x107164,4G0907379H_0361,0x116338,50,0xf1d4
4G0907379_0190,0x10ae42,4G0907379H_0361,0x11a5c6,50,0xf784
4G0907379_0190,0x1105e8,4G0907379H_0361,0x1224ac,50,0x11ec4
4G0907379_0190,0x111b80,4G0907379H_0361,0x123a54,50,0x11ed4
4G0907379_0190,0x116280,4G0907379H_0361,0x1277d8,50,0x11558
4G0907379_0190,0x11ee7a,4G0907379H_0361,0x13125e,50,0x123e4
4G0907379_0190,0x135af8,4G0907379H_0361,0x1484a4,50,0x129ac
4G0907379_0190,0x153756,4G0907379H_0361,0x1686fc,50,0x14fa6
4G0907379_0190,0x15908b,4G0907379H_0361,0x1689e3,50,0xf958
4G0907379_0190,0x159cb3,4G0907379H_0361,0x168ae3,50,0xee30
4G0907379_0190,0x159f29,4G0907379H_0361,0x168b0d,50,0xebe4
4G0907379_0190,0x15a8db,4G0907379H_0361,0x168be3,50,0xe308
4G0907379_0190,0x15ab51,4G0907379H_0361,0x168c0d,50,0xe0bc
4G0907379_0190,0x15b503,4G0907379H_0361,0x168ce3,50,0xd7e0
4G0907379_0190,0x15b779,4G0907379H_0361,0x168d0d,50,0xd594
4G0907379_0190,0x15c12b,4G0907379H_0361,0x168de3,50,0xccb8
4G0907379_0190,0x15cd53,4G0907379H_0361,0x168ee3,50,0xc190
4G0907379_0190,0x15cfc9,4G0907379H_0361,0x168f0d,50,0xbf44
4G0907379_0190,0x15d97b,4G0907379H_0361,0x168fe3,50,0xb668
4G0907379_0190,0x15dbf1,4G0907379H_0361,0x16900d,50,0xb41c
4G0907379_0190,0x15ec00,4G0907379H_0361,0x16926c,50,0xa66c
4G0907379_0190,0xdced8,4G0907379H_0361,0xeb230,49,0xe358
4G0907379_0190,0xdd692,4G0907379H_0361,0xeba8a,49,0xe3f8
4G0907379_0190,0xdf48c,4G0907379H_0361,0xed934,49,0xe4a8
4G0907379_0190,0xdf4de,4G0907379H_0361,0xed986,49,0xe4a8
4G0907379_0190,0xe1376,4G0907379H_0361,0xf2732,49,0x113bc
4G0907379_0190,0xe7a1e,4G0907379H_0361,0xf8e8a,49,0x1146c
4G0907379_0190,0xed4b8,4G0907379H_0361,0xfdc60,49,0x107a8
4G0907379_0190,0xf1bb8,4G0907379H_0361,0x105688,49,0x13ad0
4G0907379_0190,0xf7944,4G0907379H_0361,0x106f1e,49,0xf5da
4G0907379_0190,0xfb8d0,4G0907379H_0361,0x10b2c0,49,0xf9f0
4G0907379_0190,0xfba4e,4G0907379H_0361,0x10b43e,49,0xf9f0
4G0907379_0190,0xfdb16,4G0907379H_0361,0x10c4da,49,0xe9c4
4G0907379_0190,0x10153f,4G0907379H_0361,0x111a0b,49,0x104cc
4G0907379_0190,0x103c5c,4G0907379H_0361,0x1288b8,49,0x24c5c
4G0907379_0190,0x1084ce,4G0907379H_0361,0x119d52,49,0x11884
4G0907379_0190,0x108c84,4G0907379H_0361,0x11830c,49,0xf688
4G0907379_0190,0x10e3c4,4G0907379H_0361,0x11fc44,49,0x11880
4G0907379_0190,0x113de8,4G0907379H_0361,0x120ef0,49,0xd108
4G0907379_0190,0x11406e,4G0907379H_0361,0x11e962,49,0xa8f4
4G0907379_0190,0x115ccc,4G0907379H_0361,0x126da8,49,0x110dc
4G0907379_0190,0x1164bc,4G0907379H_0361,0x125ee4,49,0xfa28
4G0907379_0190,0x11703e,4G0907379H_0361,0x128106,49,0x110c8
4G0907379_0190,0x11711a,4G0907379H_0361,0x1281e2,49,0x110c8
4G0907379_0190,0x1171f6,4G0907379H_0361,0x1282be,49,0x110c8
4G0907379_0190,0x1172d2,4G0907379H_0361,0x12839a,49,0x110c8
4G0907379_0190,0x11f2b0,4G0907379H_0361,0x12c804,49,0xd554
4G0907379_0190,0x124da4,4G0907379H_0361,0x13629c,49,0x114f8
4G0907379_0190,0x128d36,4G0907379H_0361,0x13bab6,49,0x12d80
4G0907379_0190,0x130d0c,4G0907379H_0361,0x143718,49,0x12a0c
4G0907379_0190,0x1316bc,4G0907379H_0361,0x1441c0,49,0x12b04
4G0907379_0190,0x1361a8,4G0907379H_0361,0x148b50,49,0x129a8
4G0907379_0190,0x1382a0,4G0907379H_0361,0x14ad24,49,0x12a84
4G0907379_0190,0x138f68,4G0907379H_0361,0x17af18,49,0x41fb0
4G0907379_0190,0x13b1d0,4G0907379H_0361,0x1624e8,49,0x27318
4G0907379_0190,0x159302,4G0907379H_0361,0x168a0e,49,0xf70c
4G0907379_0190,0x159902,4G0907379H_0361,0x168a7a,49,0xf178
4G0907379_0190,0x15a52a,4G0907379H_0361,0x168b7a,49,0xe650
4G0907379_0190,0x15b152,4G0907379H_0361,0x168c7a,49,0xdb28
4G0907379_0190,0x15bd7a,4G0907379H_0361,0x168d7a,49,0xd000
4G0907379_0190,0x15c3a1,4G0907379H_0361,0x168e0d,49,0xca6c
4G0907379_0190,0x15c9a2,4G0907379H_0361,0x168e7a,49,0xc4d8
4G0907379_0190,0x15d5ca,4G0907379H_0361,0x168f7a,49,0xb9b0
4G0907379_0190,0x15e1f2,4G0907379H_0361,0x16907a,49,0xae88
4G0907379_0190,0xdd60f,4G0907379H_0361,0xeba07,48,0xe3f8
4G0907379_0190,0xde66c,4G0907379H_0361,0xecb1c,48,0xe4b0
4G0907379_0190,0xdf638,4G0907379H_0361,0xedae0,48,0xe4a8
4G0907379_0190,0xe0bd7,4G0907379H_0361,0xf1f93,48,0x113bc
4G0907379_0190,0xe10a7,4G0907379H_0361,0xf2463,48,0x113bc
4G0907379_0190,0xe12fb,4G0907379H_0361,0xf26b7,48,0x113bc
4G0907379_0190,0xe15b7,4G0907379H_0361,0xf2973,48,0x113bc
4G0907379_0190,0xe18ef,4G0907379H_0361,0xf2cab,48,0x113bc
4G0907379_0190,0xe1bd7,4G0907379H_0361,0xf2f93,48,0x113bc
4G0907379_0190,0xe1e4f,4G0907379H_0361,0xf320b,48,0x113bc
4G0907379_0190,0xe1f53,4G0907379H_0361,0xf330f,48,0x113bc
4G0907379_0190,0xe2167,4G0907379H_0361,0xf3523,48,0x113bc
4G0907379_0190,0xe237b,4G0907379H_0361,0xf3737,48,0x113bc
4G0907379_0190,0xe23c3,4G0907379H_0361,0xf377f,48,0x113bc
4G0907379_0190,0xe2577,4G0907379H_0361,0xf3933,48,0x113bc
4G0907379_0190,0xe282f,4G0907379H_0361,0xf3beb,48,0x113bc
4G0907379_0190,0xfb38b,4G0907379H_0361,0x10ad6b,48,0xf9e0
4G0907379_0190,0xfe2b6,4G0907379H_0361,0x10dcea,48,0xfa34
4G0907379_0190,0x10b13c,4G0907379H_0361,0x11a8d0,48,0xf794
4G0907379_0190,0x10fbea,4G0907379H_0361,0x121ffe,48,0x12414
4G0907379_0190,0x111ac8,4G0907379H_0361,0x12399c,48,0x11ed4
4G0907379_0190,0x115285,4G0907379H_0361,0x13a5ed,48,0x25368
4G0907379_0190,0x124a34,4G0907379H_0361,0x1376d0,48,0x12c9c
4G0907379_0190,0x12c182,4G0907379H_0361,0x13e73a,48,0x125b8
4G0907379_0190,0x131f02,4G0907379H_0361,0x144bc6,48,0x12cc4
4G0907379_0190,0x13285e,4G0907379H_0361,0x1452de,48,0x12a80
4G0907379_0190,0x13629c,4G0907379H_0361,0x148c44,48,0x129a8
4G0907379_0190,0x137192,4G0907379H_0361,0x149d8e,48,0x12bfc
4G0907379_0190,0x1380a8,4G0907379H_0361,0x14ac24,48,0x12b7c
4G0907379_0190,0x13d5fa,4G0907379H_0361,0x162c7a,48,0x25680
4G0907379_0190,0x15249c,4G0907379H_0361,0x167540,48,0x150a4
4G0907379_0190,0xdcc92,4G0907379H_0361,0xeaff6,47,0xe364
4G0907379_0190,0xdd998,4G0907379H_0361,0xebd8c,47,0xe3f4
4G0907379_0190,0xde4c2,4G0907379H_0361,0xec92a,47,0xe468
4G0907379_0190,0xe01b4,4G0907379H_0361,0xf1570,47,0x113bc
4G0907379_0190,0xe0200,4G0907379H_0361,0xf15bc,47,0x113bc
4G0907379_0190,0xe0ce0,4G0907379H_0361,0xf209c,47,0x113bc
4G0907379_0190,0xe0d88,4G0907379H_0361,0xf2144,47,0x113bc
4G0907379_0190,0xe1704,4G0907379H_0361,0xf2ac0,47,0x113bc
4G0907379_0190,0xe2050,4G0907379H_0361,0xf340c,47,0x113bc
4G0907379_0190,0xe2094,4G0907379H_0361,0xf3450,47,0x113bc
4G0907379_0190,0xe2280,4G0907379H_0361,0xf363c,47,0x113bc
4G0907379_0190,0xedf9c,4G0907379H_0361,0xfe73c,47,0x107a0
4G0907379_0190,0xf04a0,4G0907379H_0361,0xff918,47,0xf478
4G0907379_0190,0xf20e4,4G0907379H_0361,0x106008,47,0x13f24
4G0907379_0190,0xf3d6c,4G0907379H_0361,0x101650,47,0xd8e4
4G0907379_0190,0xf6554,4G0907379H_0361,0x103cf0,47,0xd79c
4G0907379_0190,0xf7812,4G0907379H_0361,0x106dec,47,0xf5da
4G0907379_0190,0xf933c,4G0907379H_0361,0x1089e0,47,0xf6a4
4G0907379_0190,0xf976c,4G0907379H_0361,0x108eb8,47,0xf74c
4G0907379_0190,0xfe134,4G0907379H_0361,0x10db68,47,0xfa34
4G0907379_0190,0x100eb4,4G0907379H_0361,0x10ec5c,47,0xdda8
4G0907379_0190,0x101084,4G0907379H_0361,0x10f40c,47,0xe388
4G0907379_0190,0x1040ec,4G0907379H_0361,0x120306,47,0x1c21a
4G0907379_0190,0x1042a2,4G0907379H_0361,0x1203f2,47,0x1c150
4G0907379_0190,0x1043a8,4G0907379H_0361,0x115868,47,0x114c0
4G0907379_0190,0x104818,4G0907379H_0361,0x115ca8,47,0x11490
