diff_block,block_len,stages_changed,map_addr,kind,consumer_func,callee,arg_idx,preview
0x8005774e,21,S1=S2,,,,,,no map-call resolved into block
0x80057be8,364,S1=S2,,,,,,no map-call resolved into block
0x8005ef0c,64,S1=S2,,,,,,no map-call resolved into block
0x8006567a,166,S2-only,,,,,,no map-call resolved into block
0x8006d3ac,152,S2-only,,,,,,no map-call resolved into block
0x80074084,128,S1=S2,,,,,,no map-call resolved into block
0x8007865b,129,S1=S2,,,,,,no map-call resolved into block
0x8007870e,142,S1=S2,,,,,,no map-call resolved into block
0x800787c2,154,S1=S2,,,,,,no map-call resolved into block
0x8007a38c,7,S1&S2,,,,,,no map-call resolved into block
