# ESP8 function entries: 0xADDR,<T|A> (Thumb/ARM). Mixed-ISA RE metadata only.
# Recreated by EspCreateFns.java (sets TMode per Thumb entry) in reproduce.sh.
0x00017f0c,A
0x00017f50,A
0x00017f84,A
0x00017fcc,A
0x00018000,A
0x00018028,A
0x0001807c,A
0x000180c4,A
0x0001815c,A
0x00018290,A
0x00018328,A
0x0001834c,A
0x00018508,A
0x00018558,A
0x00018688,A
0x00018724,A
0x0001878c,A
0x000187dc,A
0x000188d0,A
0x000188f0,A
0x00018a18,A
0x00018a38,A
0x00018a58,A
0x00018ae4,A
0x00019c74,A
0x00019ca0,A
0x00019d28,A
0x0001a040,A
0x0001a2c0,A
0x0001a3c4,A
0x0001bf08,T
0x0001bf30,T
0x0001c128,T
0x0001c2f6,T
0x0001c31c,T
0x0001c3c8,T
0x0001c438,T
0x0001c576,T
0x0001c5ec,T
0x0001c6b0,T
0x0001c754,T
0x0001c848,T
0x0001c9dc,T
0x0001cc34,T
0x0001cfa4,T
0x0001d0c4,T
0x0001d3e0,T
0x0001d570,T
0x0001d5c8,T
0x0001d6a0,T
0x0001d774,T
0x0001d7a8,T
0x0001d944,T
0x0001ed20,T
0x0001edf8,T
0x0001ef4c,A
0x000202ac,A
0x000203a0,A
0x00021114,A
0x0002133c,A
0x000215f8,T
0x00021610,T
0x00021628,T
0x00021642,T
0x00021666,T
0x0002167c,T
0x00021696,T
0x000216b0,T
0x000216d4,T
0x000216ec,T
0x00021742,T
0x0002174e,T
0x00021896,T
0x0002199e,T
0x000219c0,T
0x00021b24,T
0x00021b7e,T
0x00021bac,T
0x00021d2c,T
0x00021d7c,T
0x00021e82,T
0x00021edc,T
0x00022020,T
0x0002207c,T
0x000220cc,T
0x00022240,T
0x0002227c,T
0x0002234e,T
0x000223b0,T
0x000224d8,T
0x000224e2,T
0x000224f6,T
0x00022500,T
0x0002250a,T
0x00022514,T
0x0002251e,T
0x00022528,T
0x00022532,T
0x0002253c,T
0x00022546,T
0x00022550,T
0x0002255a,T
0x00022564,T
0x0002256e,T
0x00022578,T
0x00022582,T
0x0002258c,T
0x00022596,T
0x000225a0,T
0x000225aa,T
0x000225c8,T
0x00022708,T
0x0002287c,A
0x00022910,A
0x000238a8,A
0x00023a94,A
0x00023dbc,A
0x00023dc4,A
0x00023f28,A
0x00023f90,A
0x0002404c,A
0x000240c0,A
0x0002412c,A
0x00024196,T
0x000241e0,A
0x00024234,A
0x0002426c,A
0x000242b8,A
0x000242e8,A
0x00024330,A
0x00024354,A
0x000243dc,A
0x000243f8,A
0x00024414,A
0x0002442c,A
0x00024434,A
0x0002449c,A
0x00024510,A
0x0002458a,T
0x000245d6,T
0x00024600,T
0x000246c0,A
0x000246f4,A
0x00024744,A
0x00024768,A
0x0002479c,A
0x000247f0,A
0x000248d0,A
0x00024954,A
0x00024964,A
0x000249a4,A
0x000249d4,A
0x00024a68,A
0x00024aa0,A
0x00024af8,A
0x00024ba4,A
0x00024ed8,A
0x00025184,A
0x00025970,A
0x00025c88,A
0x00026d64,A
0x00026dc8,A
0x00027354,A
0x000275bc,A
0x000276e0,A
0x0002787c,A
0x00027d08,A
0x00028942,T
0x00028c60,T
0x00028e9c,T
0x00028ef0,T
0x00029086,T
0x000290d8,T
0x00029a50,T
0x00029b70,T
0x0002a71c,T
0x0002a728,T
0x0002a860,T
0x0002a864,T
0x0002a86a,T
0x0002a874,T
0x0002a89c,T
0x0002a930,T
0x0002a938,T
0x0002a952,T
0x0002a95a,T
0x0002a960,T
0x0002a9b8,T
0x0002b546,T
0x0002b568,T
0x0002b7b8,A
0x0002c554,A
0x0002d2d4,T
0x0002d43a,T
0x0002d552,T
0x0002d5e4,T
0x0002d79c,T
0x0002d8a0,T
0x0002d910,T
0x0002d9b0,T
0x0002dacc,T
0x0002dc58,T
0x0002dd1c,T
0x0002dd54,T
0x0002de28,T
0x0002de5c,T
0x0002e020,A
0x0002e6b8,A
0x0002e924,A
0x0002ebd0,A
0x0002ecf4,T
0x0002ed84,T
0x0002ee24,T
0x0002eef2,T
0x0002ef4e,T
0x0002efac,T
0x0002f144,T
0x0002f1c4,T
0x0002f230,T
0x0002f560,T
0x0002f5ee,T
0x0002f630,T
0x0002f7b4,T
0x0002f83a,T
0x0002f930,T
0x0002f934,T
0x0002f978,T
0x0002f9ce,T
0x0002fa1e,T
0x0002fa88,T
0x0002faae,T
0x0002fae2,T
0x0002fb12,T
0x0002fb46,T
0x0002fb80,T
0x0002fbfc,T
0x000303c4,T
0x00030410,T
0x00030520,A
0x000310ec,T
0x00031c60,A
0x00032108,A
0x00032178,A
0x000321ec,A
0x00032264,A
0x000322f8,A
0x0003236c,A
0x000324f4,A
0x000327c4,A
0x0003331c,T
0x00033338,T
0x00033e10,T
0x00034724,A
0x00034778,A
0x000347c4,A
0x000347f4,A
0x0003481c,A
0x0003488c,T
0x000348e4,A
0x00034944,A
0x00034974,A
0x0003532e,T
0x0003534e,T
0x0003536c,T
0x00035374,T
0x00035392,T
0x00035460,T
0x00035478,T
0x00035486,T
0x00035490,T
0x00035496,T
0x000354ba,T
0x000354c8,T
0x000354da,T
0x000354e6,T
0x000354f2,T
0x0003550c,T
0x000355b2,T
0x000355f2,T
0x0003566a,T
0x000356d0,T
0x000359a4,T
0x00035a1c,T
0x00035cb2,T
0x00035cbe,T
0x00035cc4,T
0x00035cd8,T
0x00035d24,A
0x00036740,T
0x000367c8,T
0x0003687e,T
0x00036902,T
0x0003691e,T
0x00036a34,T
0x00036a74,T
0x00036b4c,T
0x00036bbc,T
0x00036c34,T
0x00036d86,T
0x00036db0,T
0x00036e9c,T
0x00036f08,T
0x00036f68,T
0x0003708e,T
0x0003714c,T
0x00037b54,T
0x00038544,A
0x00038e50,A
0x00038f0c,A
0x00038fc4,A
0x00038fd4,A
0x00039064,A
0x00039284,A
0x00039304,A
0x000394ac,A
0x00039584,A
0x00039690,A
0x00039720,A
0x00039814,A
0x000398c8,T
0x00039932,T
0x0003a098,T
0x0003a0b8,T
0x0003a200,A
0x0003a2e4,A
0x0003a2f8,A
0x0003a610,A
0x0003a718,A
0x0003a810,A
0x0003a93c,A
0x0003aa2c,A
0x0003ab34,T
0x0003aba0,T
0x0003b17a,T
0x0003b1b8,T
0x0003b1d8,T
0x0003b324,T
0x0003b458,A
0x0003b610,A
0x0003b6b0,A
0x0003b7f4,A
0x0003b884,A
0x0003bd68,A
0x0003be5c,A
0x0003bf58,A
0x0003c65c,A
0x0003c6c4,A
0x0003c6f8,A
0x0003cf60,T
0x0003cffc,T
0x0003d02a,T
0x0003d072,T
0x0003d13c,T
0x0003d1fc,T
0x0003d260,T
0x0003d478,T
0x0003d4f0,T
0x0003d6d0,T
0x0003d6fc,T
0x0003d72c,T
0x0003d738,T
0x0003d768,T
0x0003d774,T
0x0003d780,T
0x0003d7ae,T
0x0003d804,T
0x0003d818,T
0x0003da1c,T
0x0003e0a4,T
0x0003e934,A
0x0003ea90,A
0x0003eae8,A
0x0003eba8,A
0x0003ebe0,A
0x0003ec3c,A
0x0003ec50,A
0x0003ec60,A
0x0003ed1c,A
0x0003ed48,A
0x0003ed84,A
0x0003eeb8,A
0x0003efac,A
0x0003f014,A
0x0003f084,A
0x0003f1c0,A
0x0003f220,A
0x0003f284,A
0x0003f298,A
0x0003f30c,A
0x0003f328,A
0x0003f33c,A
0x0003f350,A
0x0003f3e4,A
0x0003f418,A
0x0003f518,A
0x0003f578,A
0x0003f5cc,A
0x0003f638,A
0x0003f6ac,A
0x0003f704,A
0x0003f834,A
0x0003f8c8,A
0x0003fa38,T
0x0003fb22,T
0x0003fb60,T
0x0003ffc8,T
0x00040170,T
0x00040192,T
0x00040268,T
0x00040710,T
0x00040794,T
0x00040950,T
0x00040a84,A
0x00040afc,A
0x00040bc0,A
0x0004129c,A
0x00041660,A
0x00041938,A
0x00041aa8,A
0x00042284,A
0x000422cc,A
0x0004237c,A
0x000423ec,A
0x00042458,A
0x000424ac,A
0x000424fc,A
0x00042524,A
0x00042540,A
0x00042550,A
0x00042574,A
0x0004257c,A
0x00042588,A
0x00042598,A
0x000425a4,A
0x000425e0,A
0x00042730,A
0x00042758,A
0x00042844,A
0x000428cc,A
0x00042944,A
0x00042a5c,A
0x00042d04,A
0x000431cc,A
0x00043228,T
0x000439e0,T
0x000439fe,T
0x00043aca,T
0x00043b26,T
0x00043b88,T
0x00043c8e,T
0x00043d74,T
0x00043fbe,T
0x00043fec,T
0x0004404a,T
0x0004406c,T
0x000440b6,T
0x000440ca,T
0x00044174,T
0x000441a6,T
0x000441ec,T
0x00044434,T
0x000448f8,T
0x00044a30,T
0x00044a7a,T
0x00044ae4,T
0x00044f4e,T
0x00044f64,T
0x00045060,T
0x000457c0,T
0x00045f20,A
0x00046660,T
0x00046732,T
0x00046830,T
0x000468c0,T
0x000469ac,T
0x00046a90,T
0x00046b10,T
0x00046b7c,T
0x00046c90,T
0x00046da0,A
0x00046eb4,A
0x00046f60,A
0x00047064,A
0x00047104,A
0x00047174,A
0x0004734c,A
0x000474bc,T
0x00047bd0,A
0x000482e0,T
0x00048354,T
0x00048418,T
0x00048478,T
0x00048500,T
0x000485f8,T
0x00048734,T
0x00048850,T
0x000488d0,T
0x00048920,T
0x00048944,T
0x000489cc,A
0x000490b4,A
0x00049238,A
0x00049780,T
0x000498ae,T
0x000498d8,T
0x0004990c,T
0x00049940,T
0x00049c28,T
0x00049c68,T
0x00049d1c,T
0x00049e48,A
0x00049e64,A
0x00049e80,A
0x00049e9c,A
0x00049f38,A
0x00049fa8,A
0x0004a004,A
0x0004a010,A
0x0004a01c,A
0x0004a028,A
0x0004a034,A
0x0004a408,A
0x0004a41c,A
0x0004a450,A
0x0004a48c,A
0x0004a504,A
0x0004a5b4,A
0x0004a5f0,A
0x0004a67c,A
0x0004a69c,A
0x0004abb4,T
0x0004abe6,T
0x0004ac58,T
0x0004ac96,T
0x0004acd8,T
0x0004adc2,T
0x0004add6,T
0x0004ae1e,T
0x0004af54,T
0x0004b078,T
0x0004b0d4,T
0x0004b164,T
0x0004b240,T
0x0004b79c,T
0x0004b7c4,T
0x0004b8cc,T
0x0004b8e4,T
0x0004b8fa,T
0x0004bd1c,T
0x0004bd22,T
0x0004bea0,T
0x0004bf3c,T
0x0004c56c,T
0x0004c5a8,T
0x0004c652,T
0x0004c844,T
0x0004c8a8,T
0x0004ca3e,T
0x0004ca58,T
0x0004cb4c,T
0x0004cb8c,T
0x0004cc00,A
0x0004d250,A
0x0004d2b4,A
0x0004d37c,A
0x0004d89c,A
0x0004d9bc,A
0x0004dee4,A
0x0004e278,A
0x0004e2b8,A
0x0004e524,A
0x0004eb5c,T
0x0004ebc0,T
0x0004ee5c,T
0x0004efec,T
0x0004f070,T
0x0004f0cc,T
0x0004f148,T
0x0004f1a8,T
0x0004f24c,T
0x0004f2a4,T
0x0004f2e6,T
0x0004f3e8,T
0x0004f410,T
0x0004f41e,T
0x0004f486,T
0x0004f540,T
0x0004f57c,T
0x0004f730,T
0x0004f7bc,T
0x0004f890,T
0x0004f898,T
0x0004f8be,T
0x0004f8ce,T
0x0004f970,T
0x0004fcd0,T
0x0004fcf8,T
0x0004fd84,T
0x0004fde0,T
0x0004fe62,T
0x0004fee8,T
0x0004ffa4,T
0x0004fff8,T
0x00050032,T
0x0005004a,T
0x00050070,T
0x00050090,T
0x00050114,T
0x000501c2,T
0x000501d4,T
0x00050268,T
0x0005029c,T
0x0005031c,T
0x0005034c,T
0x00050386,T
0x00050396,T
0x000503a6,T
0x000503e8,T
0x0005040a,T
0x00050460,T
0x000507f4,T
0x00050838,T
0x000509e8,A
0x00050d9c,A
0x00050f7c,A
0x00050fd8,A
0x00050fdc,A
0x0005102c,A
0x000510cc,A
0x00051268,A
0x000512c4,A
0x00051330,A
0x0005138c,A
0x00051404,A
0x0005147c,A
0x000514ec,A
0x0005154c,A
0x000515bc,A
0x00051848,A
0x00051b98,T
0x00051c0a,T
0x00051cba,T
0x00051d44,T
0x00051df0,T
0x00051e5c,T
0x00051f4c,T
0x00051fa0,T
0x00052054,A
0x00052072,T
0x000520ae,T
0x0005216c,T
0x00052740,A
0x00052774,A
0x000527d4,A
0x00052814,A
0x000528fc,A
0x00052944,A
0x000529c0,A
0x00052a64,A
0x00052b08,A
0x00052b3c,A
0x00052be0,A
0x00052c74,A
0x00052cb0,A
0x00052d08,A
0x000532c8,A
0x00053408,A
0x00053440,A
0x00053468,A
0x0005355c,A
0x000535e8,A
0x00053670,A
0x0005382c,A
0x00053884,A
0x000538e0,A
0x00053974,A
0x00053c7c,A
0x00053e3c,T
0x00054312,T
0x00054330,T
0x00054360,T
0x000543e0,A
0x0005497c,T
0x00054f18,T
0x00055062,T
0x000550e2,T
0x000551e0,T
0x00055318,T
0x000553c4,T
0x00055426,T
0x000554a4,T
0x00055a28,T
0x00055aaa,T
0x00055ae8,T
0x00055fa4,T
0x00056024,T
0x0005607a,T
0x000560c4,T
0x00056118,T
0x00056176,T
0x000561d4,T
0x00056236,T
0x000562a6,T
0x000562de,T
0x00056322,T
0x0005636c,T
0x00056400,T
0x00056456,T
0x0005645e,T
0x0005651c,T
0x00056578,T
0x000566d4,T
0x00056974,T
0x000569ec,T
0x00056a8c,A
0x00056aa0,A
0x00056af8,A
0x00056b10,A
0x00056b18,A
0x00056b24,A
0x00056b5c,A
0x00056b64,A
0x00056b7c,A
0x00056b8c,A
