table,record,did,length,flags,access,target,target_kind
measuring,0x80084384,0x10b8,1,0x00020f,data-pointer (fixed length),0xd0005da2,ram
measuring,0x80084390,0x10b9,1,0x00020f,data-pointer (fixed length),0xd000611e,ram
measuring,0x8008439c,0x10ba,1,0x00020f,data-pointer (fixed length),0xd000651d,ram
measuring,0x800843a8,0x10bb,1,0x00020f,data-pointer (fixed length),0xd00065e1,ram
measuring,0x800843b4,0x3fc4,2,0x00010f,data-pointer (fixed length),0x8008b274,code
measuring,0x800843c0,0x3fc5,2,0x00010f,data-pointer (fixed length),0x8008b27c,code
measuring,0x800843cc,0x3fc6,2,0x00010f,data-pointer (fixed length),0x8008b284,code
measuring,0x800843d8,0x3fc7,2,0x00010f,data-pointer (fixed length),0x8008b28c,code
measuring,0x800843e4,0x3fca,2,0x00010f,data-pointer (fixed length),0x8008b294,code
measuring,0x800843f0,0x3fcb,2,0x00010f,data-pointer (fixed length),0x8008b29c,code
measuring,0x800843fc,0x3fcc,2,0x00010f,data-pointer (fixed length),0x8008b2a4,code
measuring,0x80084408,0x3fcd,2,0x00010f,data-pointer (fixed length),0x8008b2ac,code
measuring,0x80084414,0x425c,2,0x00030f,handler(buf) emits fixed length,0x8012248c,code
measuring,0x80084420,0x425d,2,0x00030f,handler(buf) emits fixed length,0x801224e0,code
measuring,0x8008442c,0x10be,1,0x00020f,data-pointer (fixed length),0xd000aee4,ram
measuring,0x80084438,0x10bf,1,0x00020f,data-pointer (fixed length),0xd000aee5,ram
measuring,0x80084444,0x10c6,2,0x00010f,data-pointer (fixed length),0x8008b2b4,code
measuring,0x80084450,0x10c7,2,0x00010f,data-pointer (fixed length),0x8008b2bc,code
measuring,0x8008445c,0x10c8,2,0x00010f,data-pointer (fixed length),0x8008b2c4,code
measuring,0x80084468,0x10c9,2,0x00010f,data-pointer (fixed length),0x8008b2cc,code
measuring,0x80084474,0x10ca,2,0x00010f,data-pointer (fixed length),0x8008b2d4,code
measuring,0x80084480,0x10cb,2,0x00010f,data-pointer (fixed length),0x8008b2dc,code
measuring,0x8008448c,0x10cc,2,0x00010f,data-pointer (fixed length),0x8008b2e4,code
measuring,0x80084498,0x10cd,2,0x00010f,data-pointer (fixed length),0x8008b2ec,code
measuring,0x800844a4,0x10ce,4,0x00010f,data-pointer (fixed length),0x8008b2f4,code
measuring,0x800844b0,0x10cf,4,0x00010f,data-pointer (fixed length),0x8008b304,code
measuring,0x800844bc,0x10d0,4,0x00010f,data-pointer (fixed length),0x8008b314,code
measuring,0x800844c8,0x10d1,4,0x00010f,data-pointer (fixed length),0x8008b324,code
measuring,0x800844d4,0x10d2,1,0x00020f,data-pointer (fixed length),0xd000aee0,ram
measuring,0x800844e0,0x10d3,1,0x00020f,data-pointer (fixed length),0xd000aee1,ram
measuring,0x800844ec,0x10d4,1,0x00020f,data-pointer (fixed length),0xd000aee2,ram
measuring,0x800844f8,0x10d5,1,0x00020f,data-pointer (fixed length),0xd000aee3,ram
measuring,0x80084504,0x10e7,2,0x00010f,data-pointer (fixed length),0x8008b334,code
measuring,0x80084510,0x10e8,1,0x00020f,data-pointer (fixed length),0xd0009f5d,ram
measuring,0x8008451c,0x10ea,1,0x00020f,data-pointer (fixed length),0xd000a5f1,ram
measuring,0x80084528,0x10eb,1,0x00020f,data-pointer (fixed length),0xd000a5ee,ram
measuring,0x80084534,0x10ec,2,0x00010f,data-pointer (fixed length),0x8008b33c,code
measuring,0x80084540,0x10ed,2,0x00010f,data-pointer (fixed length),0x8008b344,code
measuring,0x8008454c,0x10f0,1,0x00020f,data-pointer (fixed length),0xd000a427,ram
measuring,0x80084558,0x10f1,1,0x00020f,data-pointer (fixed length),0xd000a5e1,ram
measuring,0x80084564,0x10f2,1,0x00020f,data-pointer (fixed length),0xd000a5df,ram
measuring,0x80084570,0x10f4,2,0x00010f,data-pointer (fixed length),0x8008b34c,code
measuring,0x8008457c,0x10f5,2,0x00010f,data-pointer (fixed length),0x8008b354,code
measuring,0x80084588,0x10f6,4,0x00010f,data-pointer (fixed length),0x8008b35c,code
measuring,0x80084594,0x10f7,4,0x00010f,data-pointer (fixed length),0x8008b36c,code
measuring,0x800845a0,0x10f9,1,0x00020f,data-pointer (fixed length),0xd000a5e0,ram
measuring,0x800845ac,0x40ce,2,0x00010f,data-pointer (fixed length),0x8008b37c,code
measuring,0x800845b8,0x10f3,2,0x00010f,data-pointer (fixed length),0x8008b384,code
measuring,0x800845c4,0x40d0,1,0x00020f,data-pointer (fixed length),0xd000a5e7,ram
measuring,0x800845d0,0x10ef,2,0x00010f,data-pointer (fixed length),0x8008b394,code
measuring,0x800845dc,0x10ee,2,0x00010f,data-pointer (fixed length),0x8008b38c,code
measuring,0x800845e8,0x40d3,1,0x00020f,data-pointer (fixed length),0xd000b2bc,ram
measuring,0x800845f4,0x10f8,2,0x00010f,data-pointer (fixed length),0x8008b39c,code
measuring,0x80084600,0x10e6,1,0x00020f,data-pointer (fixed length),0xd000b2bb,ram
measuring,0x8008460c,0x110e,1,0x00020f,data-pointer (fixed length),0xd000af03,ram
measuring,0x80084618,0x112c,2,0x00010f,data-pointer (fixed length),0x8008b3a4,code
measuring,0x80084624,0x112d,2,0x00010f,data-pointer (fixed length),0x8008b3ac,code
measuring,0x80084630,0x112e,2,0x00010f,data-pointer (fixed length),0x8008b3b4,code
measuring,0x8008463c,0x112f,2,0x00010f,data-pointer (fixed length),0x8008b3bc,code
measuring,0x80084648,0x1130,2,0x00010f,data-pointer (fixed length),0x8008b3c4,code
measuring,0x80084654,0x1131,2,0x00010f,data-pointer (fixed length),0x8008b3cc,code
measuring,0x80084660,0x1132,2,0x00010f,data-pointer (fixed length),0x8008b3d4,code
measuring,0x8008466c,0x1133,2,0x00010f,data-pointer (fixed length),0x8008b3dc,code
measuring,0x80084678,0x1134,2,0x00010f,data-pointer (fixed length),0x8008b3e4,code
measuring,0x80084684,0x1135,2,0x00010f,data-pointer (fixed length),0x8008b3ec,code
measuring,0x80084690,0x1136,2,0x00010f,data-pointer (fixed length),0x8008b3f4,code
measuring,0x8008469c,0x1137,2,0x00010f,data-pointer (fixed length),0x8008b3fc,code
measuring,0x800846a8,0x1138,2,0x00010f,data-pointer (fixed length),0x8008b404,code
measuring,0x800846b4,0x1139,2,0x00010f,data-pointer (fixed length),0x8008b40c,code
measuring,0x800846c0,0x113a,2,0x00010f,data-pointer (fixed length),0x8008b414,code
measuring,0x800846cc,0x113b,2,0x00010f,data-pointer (fixed length),0x8008b41c,code
measuring,0x800846d8,0x113c,2,0x00010f,data-pointer (fixed length),0x8008b424,code
measuring,0x800846e4,0x113d,2,0x00010f,data-pointer (fixed length),0x8008b42c,code
measuring,0x800846f0,0x113e,2,0x00010f,data-pointer (fixed length),0x8008b434,code
measuring,0x800846fc,0x113f,2,0x00010f,data-pointer (fixed length),0x8008b43c,code
measuring,0x80084708,0x1140,2,0x00010f,data-pointer (fixed length),0x8008b444,code
measuring,0x80084714,0x1141,2,0x00010f,data-pointer (fixed length),0x8008b44c,code
measuring,0x80084720,0x1142,2,0x00010f,data-pointer (fixed length),0x8008b454,code
measuring,0x8008472c,0x1143,2,0x00010f,data-pointer (fixed length),0x8008b45c,code
measuring,0x80084738,0x1154,2,0x00010f,data-pointer (fixed length),0x8008b464,code
measuring,0x80084744,0x1155,2,0x00010f,data-pointer (fixed length),0x8008b46c,code
measuring,0x80084750,0x117c,2,0x00010f,data-pointer (fixed length),0x8008b474,code
measuring,0x8008475c,0x117d,1,0x00020f,data-pointer (fixed length),0xd000b4f8,ram
measuring,0x80084768,0x1185,1,0x00020f,data-pointer (fixed length),0xd0006a98,ram
measuring,0x80084774,0x1186,1,0x00020f,data-pointer (fixed length),0xd0006ab4,ram
measuring,0x80084780,0x1182,1,0x00020f,data-pointer (fixed length),0xd000ad2d,ram
measuring,0x8008478c,0x117e,2,0x00010f,data-pointer (fixed length),0x8008b48c,code
measuring,0x80084798,0x117f,2,0x00010f,data-pointer (fixed length),0x8008b494,code
measuring,0x800847a4,0x1180,2,0x00010f,data-pointer (fixed length),0x8008b49c,code
measuring,0x800847b0,0x1181,2,0x00010f,data-pointer (fixed length),0x8008b4a4,code
measuring,0x800847bc,0x1187,1,0x00020f,data-pointer (fixed length),0xd000b4f9,ram
