table,record,did,length,flags,access,target,target_kind
measuring,0x80084e04,0x1270,1,0x00020f,data-pointer (fixed length),0xd000af3d,ram
measuring,0x80084e10,0x1271,2,0x00010f,data-pointer (fixed length),0x8008b57c,code
measuring,0x80084e1c,0x1272,2,0x00010f,data-pointer (fixed length),0x8008b584,code
measuring,0x80084e28,0x1273,1,0x00020f,data-pointer (fixed length),0xd000af44,ram
measuring,0x80084e34,0x1274,1,0x00020f,data-pointer (fixed length),0xd000af45,ram
measuring,0x80084e40,0x1275,2,0x00010f,data-pointer (fixed length),0x8008b58c,code
measuring,0x80084e4c,0x1276,1,0x00020f,data-pointer (fixed length),0xd000b60e,ram
measuring,0x80084e58,0x1277,1,0x00020f,data-pointer (fixed length),0xd000b60f,ram
measuring,0x80084e64,0x1278,1,0x00020f,data-pointer (fixed length),0xd000b574,ram
measuring,0x80084e70,0x1279,1,0x00020f,data-pointer (fixed length),0xd000b578,ram
measuring,0x80084e7c,0x1294,2,0x00010f,data-pointer (fixed length),0x8008b594,code
measuring,0x80084e88,0x1295,2,0x00010f,data-pointer (fixed length),0x8008b59c,code
measuring,0x80084e94,0x1296,2,0x00010f,data-pointer (fixed length),0x8008b5a4,code
measuring,0x80084ea0,0x1297,2,0x00010f,data-pointer (fixed length),0x8008b5ac,code
measuring,0x80084eac,0x1298,2,0x00010f,data-pointer (fixed length),0x8008b5b4,code
measuring,0x80084eb8,0x1299,2,0x00010f,data-pointer (fixed length),0x8008b5bc,code
measuring,0x80084ec4,0x129a,2,0x00010f,data-pointer (fixed length),0x8008b5c4,code
measuring,0x80084ed0,0x129b,2,0x00010f,data-pointer (fixed length),0x8008b5cc,code
measuring,0x80084edc,0x12bc,2,0x00010f,data-pointer (fixed length),0x8008b5d4,code
measuring,0x80084ee8,0x12bd,2,0x00010f,data-pointer (fixed length),0x8008b5dc,code
measuring,0x80084ef4,0x12e4,2,0x00010f,data-pointer (fixed length),0x8008b5e4,code
measuring,0x80084f00,0x12e5,1,0x00020f,data-pointer (fixed length),0xd000b691,ram
measuring,0x80084f0c,0x12e6,1,0x00020f,data-pointer (fixed length),0xd000b692,ram
measuring,0x80084f18,0x12e7,1,0x00020f,data-pointer (fixed length),0xd000b693,ram
measuring,0x80084f24,0x130c,2,0x00010f,data-pointer (fixed length),0x8008b5ec,code
measuring,0x80084f30,0x130d,2,0x00010f,data-pointer (fixed length),0x8008b5f4,code
measuring,0x80084f3c,0x130e,2,0x00010f,data-pointer (fixed length),0x8008b5fc,code
measuring,0x80084f48,0x130f,2,0x00010f,data-pointer (fixed length),0x8008b604,code
measuring,0x80084f54,0x1310,2,0x00010f,data-pointer (fixed length),0x8008b60c,code
measuring,0x80084f60,0x1311,2,0x00010f,data-pointer (fixed length),0x8008b614,code
measuring,0x80084f6c,0x1312,2,0x00010f,data-pointer (fixed length),0x8008b61c,code
measuring,0x80084f78,0x1313,1,0x00020f,data-pointer (fixed length),0xd000b2d4,ram
measuring,0x80084f84,0x1314,2,0x00010f,data-pointer (fixed length),0x8008b624,code
measuring,0x80084f90,0x1315,2,0x00010f,data-pointer (fixed length),0x8008b62c,code
measuring,0x80084f9c,0x1316,2,0x00010f,data-pointer (fixed length),0x8008b634,code
measuring,0x80084fa8,0x1317,1,0x00020f,data-pointer (fixed length),0xd000af26,ram
measuring,0x80084fb4,0x1318,1,0x00020f,data-pointer (fixed length),0xd000af36,ram
measuring,0x80084fc0,0x1319,2,0x00010f,data-pointer (fixed length),0x8008b63c,code
measuring,0x80084fcc,0x131a,2,0x00010f,data-pointer (fixed length),0x8008b644,code
measuring,0x80084fd8,0x131b,2,0x00010f,data-pointer (fixed length),0x8008b64c,code
measuring,0x80084fe4,0x131c,2,0x00010f,data-pointer (fixed length),0x8008b654,code
measuring,0x80084ff0,0x131d,1,0x00020f,data-pointer (fixed length),0xd000a5bc,ram
measuring,0x80084ffc,0x131e,2,0x00010f,data-pointer (fixed length),0x8008b65c,code
measuring,0x80085008,0x131f,2,0x00010f,data-pointer (fixed length),0x8008b664,code
measuring,0x80085014,0x1320,2,0x00010f,data-pointer (fixed length),0x8008b66c,code
measuring,0x80085020,0x1321,2,0x00010f,data-pointer (fixed length),0x8008b674,code
measuring,0x8008502c,0x1322,2,0x00010f,data-pointer (fixed length),0x8008b67c,code
measuring,0x80085038,0x1323,2,0x00010f,data-pointer (fixed length),0x8008b684,code
measuring,0x80085044,0x1324,2,0x00010f,data-pointer (fixed length),0x8008b68c,code
measuring,0x80085050,0x1325,2,0x00010f,data-pointer (fixed length),0x8008b694,code
measuring,0x8008505c,0x1326,2,0x00010f,data-pointer (fixed length),0x8008b69c,code
measuring,0x80085068,0x1327,2,0x00010f,data-pointer (fixed length),0x8008b6a4,code
measuring,0x80085074,0x1328,2,0x00010f,data-pointer (fixed length),0x8008b6ac,code
measuring,0x80085080,0x1329,2,0x00010f,data-pointer (fixed length),0x8008b6b4,code
measuring,0x8008508c,0x132b,1,0x00020f,data-pointer (fixed length),0xd000a63e,ram
measuring,0x80085098,0x132c,2,0x00010f,data-pointer (fixed length),0x8008b6bc,code
measuring,0x800850a4,0x133e,1,0x00020f,data-pointer (fixed length),0xd000a7c4,ram
measuring,0x800850b0,0x1353,1,0x00020f,data-pointer (fixed length),0xd000b63c,ram
measuring,0x800850bc,0x1354,1,0x00020f,data-pointer (fixed length),0xd000b63d,ram
measuring,0x800850c8,0x1355,1,0x00020f,data-pointer (fixed length),0xd000b63e,ram
measuring,0x800850d4,0x1356,1,0x00020f,data-pointer (fixed length),0xd000b63f,ram
measuring,0x800850e0,0x1357,1,0x00020f,data-pointer (fixed length),0xd000b614,ram
measuring,0x800850ec,0x1358,1,0x00020f,data-pointer (fixed length),0xd000b613,ram
measuring,0x800850f8,0x1359,1,0x00020f,data-pointer (fixed length),0xd000b612,ram
measuring,0x80085104,0x135a,1,0x00020f,data-pointer (fixed length),0xd000b611,ram
measuring,0x80085110,0x135b,1,0x00020f,data-pointer (fixed length),0xd000b610,ram
measuring,0x8008511c,0x1350,1,0x00020f,data-pointer (fixed length),0xd000b5f0,ram
measuring,0x80085128,0x1351,1,0x00020f,data-pointer (fixed length),0xd000b62c,ram
measuring,0x80085134,0x1352,1,0x00020f,data-pointer (fixed length),0xd000b62d,ram
measuring,0x80085140,0x135c,2,0x00010f,data-pointer (fixed length),0x8008b6c4,code
measuring,0x8008514c,0x135d,1,0x00020f,data-pointer (fixed length),0xd0009f29,ram
measuring,0x80085158,0x135e,1,0x00020f,data-pointer (fixed length),0xd0009f2d,ram
measuring,0x80085164,0x135f,1,0x00020f,data-pointer (fixed length),0xd0009f27,ram
measuring,0x80085170,0x137a,1,0x00020f,data-pointer (fixed length),0xd000af9b,ram
measuring,0x8008517c,0x138a,1,0x00020f,data-pointer (fixed length),0xd000b765,ram
measuring,0x80085188,0x138b,1,0x00020f,data-pointer (fixed length),0xd000b766,ram
measuring,0x80085194,0x138c,1,0x00020f,data-pointer (fixed length),0xd000b767,ram
measuring,0x800851a0,0x138d,1,0x00020f,data-pointer (fixed length),0xd000b768,ram
measuring,0x800851ac,0x138e,1,0x00020f,data-pointer (fixed length),0xd000b769,ram
measuring,0x800851b8,0x138f,1,0x00020f,data-pointer (fixed length),0xd000b76a,ram
measuring,0x800851c4,0x13a0,1,0x00020f,data-pointer (fixed length),0xd000ac6e,ram
measuring,0x800851d0,0x13a1,1,0x00020f,data-pointer (fixed length),0xd000b759,ram
measuring,0x800851dc,0x13a2,1,0x00020f,data-pointer (fixed length),0xd000ac74,ram
measuring,0x800851e8,0x13a3,2,0x00010f,data-pointer (fixed length),0x8008b6cc,code
measuring,0x800851f4,0x13a4,2,0x00010f,data-pointer (fixed length),0x8008b6d4,code
measuring,0x80085200,0x13a5,2,0x00010f,data-pointer (fixed length),0x8008b6dc,code
measuring,0x8008520c,0x13a6,2,0x00010f,data-pointer (fixed length),0x8008b6e4,code
measuring,0x80085218,0x13a7,2,0x00010f,data-pointer (fixed length),0x8008b6ec,code
measuring,0x80085224,0x13a8,2,0x00010f,data-pointer (fixed length),0x8008b6f4,code
measuring,0x80085230,0x13a9,2,0x00010f,data-pointer (fixed length),0x8008b6fc,code
measuring,0x8008523c,0x13aa,2,0x00010f,data-pointer (fixed length),0x8008b704,code
measuring,0x80085248,0x13ab,2,0x00010f,data-pointer (fixed length),0x8008b70c,code
measuring,0x80085254,0x13ac,2,0x00010f,data-pointer (fixed length),0x8008b714,code
measuring,0x80085260,0x13ad,2,0x00010f,data-pointer (fixed length),0x8008b71c,code
measuring,0x8008526c,0x13ae,2,0x00010f,data-pointer (fixed length),0x8008b724,code
measuring,0x80085278,0x13ca,2,0x00010f,data-pointer (fixed length),0x8008b72c,code
measuring,0x80085284,0x13cb,2,0x00010f,data-pointer (fixed length),0x8008b734,code
measuring,0x80085290,0x13cc,2,0x00010f,data-pointer (fixed length),0x8008b73c,code
measuring,0x8008529c,0x13cd,2,0x00010f,data-pointer (fixed length),0x8008b744,code
measuring,0x800852a8,0x13ce,2,0x00010f,data-pointer (fixed length),0x8008b74c,code
measuring,0x800852b4,0x13cf,2,0x00010f,data-pointer (fixed length),0x8008b754,code
measuring,0x800852c0,0x13d0,2,0x00010f,data-pointer (fixed length),0x8008b75c,code
measuring,0x800852cc,0x13d1,2,0x00010f,data-pointer (fixed length),0x8008b764,code
measuring,0x800852d8,0x13d3,2,0x00010f,data-pointer (fixed length),0x8008b76c,code
measuring,0x800852e4,0x13d4,2,0x00010f,data-pointer (fixed length),0x8008b774,code
measuring,0x800852f0,0x13dc,2,0x00010f,data-pointer (fixed length),0x8008b77c,code
measuring,0x800852fc,0x13dd,2,0x00010f,data-pointer (fixed length),0x8008b784,code
measuring,0x80085308,0x13de,2,0x00010f,data-pointer (fixed length),0x8008b78c,code
measuring,0x80085314,0x13df,2,0x00010f,data-pointer (fixed length),0x8008b7bc,code
measuring,0x80085320,0x13e0,2,0x00010f,data-pointer (fixed length),0x8008b7c4,code
measuring,0x8008532c,0x13e1,2,0x00010f,data-pointer (fixed length),0x8008b794,code
measuring,0x80085338,0x13e2,2,0x00010f,data-pointer (fixed length),0x8008b79c,code
measuring,0x80085344,0x13e3,1,0x00020f,data-pointer (fixed length),0xd000b60d,ram
measuring,0x80085350,0x13e4,1,0x00020f,data-pointer (fixed length),0xd000b5f3,ram
measuring,0x8008535c,0x13e5,1,0x00020f,data-pointer (fixed length),0xd000b5f4,ram
measuring,0x80085368,0x13e6,2,0x00010f,data-pointer (fixed length),0x8008b7a4,code
measuring,0x80085374,0x13e7,2,0x00010f,data-pointer (fixed length),0x8008b7ac,code
measuring,0x80085380,0x13e8,2,0x00010f,data-pointer (fixed length),0x8008b7b4,code
measuring,0x8008538c,0x13e9,1,0x00020f,data-pointer (fixed length),0xd000b0f5,ram
measuring,0x80085398,0x13f2,1,0x00020f,data-pointer (fixed length),0xd000b791,ram
measuring,0x800853a4,0x13f3,1,0x00020f,data-pointer (fixed length),0xd000b792,ram
measuring,0x800853b0,0x13f4,1,0x00020f,data-pointer (fixed length),0xd000b793,ram
measuring,0x800853bc,0x13f5,1,0x00020f,data-pointer (fixed length),0xd000b794,ram
measuring,0x800853c8,0x13f6,1,0x00020f,data-pointer (fixed length),0xd000b795,ram
measuring,0x800853d4,0x13f7,1,0x00020f,data-pointer (fixed length),0xd000b796,ram
measuring,0x800853e0,0x13f8,2,0x00010f,data-pointer (fixed length),0x8008b7cc,code
measuring,0x800853ec,0x13f9,2,0x00010f,data-pointer (fixed length),0x8008b7d4,code
measuring,0x800853f8,0x13fa,2,0x00010f,data-pointer (fixed length),0x8008b7dc,code
measuring,0x80085404,0x13fb,2,0x00010f,data-pointer (fixed length),0x8008b7e4,code
measuring,0x80085410,0x13fc,2,0x00010f,data-pointer (fixed length),0x8008b7ec,code
measuring,0x8008541c,0x13fd,2,0x00010f,data-pointer (fixed length),0x8008b7f4,code
measuring,0x80085428,0x141a,2,0x00010f,data-pointer (fixed length),0x8008b7fc,code
measuring,0x80085434,0x141b,2,0x00010f,data-pointer (fixed length),0x8008b804,code
measuring,0x80085440,0x141c,2,0x00010f,data-pointer (fixed length),0x8008b80c,code
measuring,0x8008544c,0x141d,2,0x00010f,data-pointer (fixed length),0x8008b814,code
measuring,0x80085458,0x141e,2,0x00010f,data-pointer (fixed length),0x8008b81c,code
measuring,0x80085464,0x141f,2,0x00010f,data-pointer (fixed length),0x8008b824,code
measuring,0x80085470,0x1420,2,0x00010f,data-pointer (fixed length),0x8008b82c,code
measuring,0x8008547c,0x1421,2,0x00010f,data-pointer (fixed length),0x8008b834,code
measuring,0x80085488,0x1422,2,0x00010f,data-pointer (fixed length),0x8008b83c,code
measuring,0x80085494,0x1423,2,0x00010f,data-pointer (fixed length),0x8008b844,code
measuring,0x800854a0,0x1424,2,0x00010f,data-pointer (fixed length),0x8008b84c,code
measuring,0x800854ac,0x1425,2,0x00010f,data-pointer (fixed length),0x8008b854,code
measuring,0x800854b8,0x1426,2,0x00010f,data-pointer (fixed length),0x8008b85c,code
measuring,0x800854c4,0x1427,2,0x00010f,data-pointer (fixed length),0x8008b864,code
measuring,0x800854d0,0x1428,2,0x00010f,data-pointer (fixed length),0x8008b86c,code
measuring,0x800854dc,0x1429,2,0x00010f,data-pointer (fixed length),0x8008b874,code
measuring,0x800854e8,0x142a,2,0x00010f,data-pointer (fixed length),0x8008b87c,code
measuring,0x800854f4,0x142b,2,0x00010f,data-pointer (fixed length),0x8008b884,code
measuring,0x80085500,0x142c,2,0x00010f,data-pointer (fixed length),0x8008b88c,code
measuring,0x8008550c,0x142d,2,0x00010f,data-pointer (fixed length),0x8008b894,code
measuring,0x80085518,0x142e,2,0x00010f,data-pointer (fixed length),0x8008b89c,code
measuring,0x80085524,0x142f,2,0x00010f,data-pointer (fixed length),0x8008b8a4,code
measuring,0x80085530,0x1430,2,0x00010f,data-pointer (fixed length),0x8008b8ac,code
measuring,0x8008553c,0x1431,2,0x00010f,data-pointer (fixed length),0x8008b8b4,code
measuring,0x80085548,0x1432,1,0x00020f,data-pointer (fixed length),0xd000679e,ram
measuring,0x80085554,0x1433,1,0x00020f,data-pointer (fixed length),0xd00068f6,ram
measuring,0x80085560,0x1434,1,0x00020f,data-pointer (fixed length),0xd000679f,ram
measuring,0x8008556c,0x1435,1,0x00020f,data-pointer (fixed length),0xd00068f7,ram
measuring,0x80085578,0x1436,1,0x00020f,data-pointer (fixed length),0xd00067a0,ram
measuring,0x80085584,0x1437,1,0x00020f,data-pointer (fixed length),0xd00068f8,ram
measuring,0x80085590,0x1438,1,0x00020f,data-pointer (fixed length),0xd00067a1,ram
measuring,0x8008559c,0x1439,1,0x00020f,data-pointer (fixed length),0xd00068f9,ram
measuring,0x800855a8,0x143a,1,0x00020f,data-pointer (fixed length),0xd00067a2,ram
measuring,0x800855b4,0x143b,1,0x00020f,data-pointer (fixed length),0xd00068fa,ram
measuring,0x800855c0,0x143c,1,0x00020f,data-pointer (fixed length),0xd00067a3,ram
measuring,0x800855cc,0x143d,1,0x00020f,data-pointer (fixed length),0xd00068fb,ram
measuring,0x800855d8,0x143e,1,0x00020f,data-pointer (fixed length),0xd00067a4,ram
measuring,0x800855e4,0x143f,1,0x00020f,data-pointer (fixed length),0xd00068fc,ram
measuring,0x800855f0,0x1440,2,0x00010f,data-pointer (fixed length),0x8008b8bc,code
measuring,0x800855fc,0x1441,2,0x00010f,data-pointer (fixed length),0x8008b8c4,code
measuring,0x80085608,0x1442,2,0x00010f,data-pointer (fixed length),0x8008b8cc,code
measuring,0x80085614,0x1443,2,0x00010f,data-pointer (fixed length),0x8008b8d4,code
measuring,0x80085620,0x1444,2,0x00010f,data-pointer (fixed length),0x8008b8dc,code
measuring,0x8008562c,0x1445,2,0x00010f,data-pointer (fixed length),0x8008b8e4,code
measuring,0x80085638,0x1446,2,0x00010f,data-pointer (fixed length),0x8008b8ec,code
measuring,0x80085644,0x1447,2,0x00010f,data-pointer (fixed length),0x8008b8f4,code
measuring,0x80085650,0x1448,2,0x00010f,data-pointer (fixed length),0x8008b8fc,code
measuring,0x8008565c,0x1449,2,0x00010f,data-pointer (fixed length),0x8008b904,code
measuring,0x80085668,0x1456,2,0x00010f,data-pointer (fixed length),0x8008b90c,code
measuring,0x80085674,0x1457,2,0x00010f,data-pointer (fixed length),0x8008b914,code
measuring,0x80085680,0x1458,2,0x00010f,data-pointer (fixed length),0x8008b91c,code
measuring,0x8008568c,0x1459,2,0x00010f,data-pointer (fixed length),0x8008b924,code
measuring,0x80085698,0x147e,2,0x00010f,data-pointer (fixed length),0x8008b92c,code
measuring,0x800856a4,0x147f,2,0x00010f,data-pointer (fixed length),0x8008b934,code
measuring,0x800856b0,0x1480,2,0x00010f,data-pointer (fixed length),0x8008b93c,code
measuring,0x800856bc,0x1481,2,0x00010f,data-pointer (fixed length),0x8008b944,code
measuring,0x800856c8,0x1482,2,0x00010f,data-pointer (fixed length),0x8008b94c,code
measuring,0x800856d4,0x1483,2,0x00010f,data-pointer (fixed length),0x8008b954,code
measuring,0x800856e0,0x1484,2,0x00010f,data-pointer (fixed length),0x8008b95c,code
measuring,0x800856ec,0x1485,2,0x00010f,data-pointer (fixed length),0x8008b964,code
measuring,0x800856f8,0x1486,2,0x00010f,data-pointer (fixed length),0x8008b96c,code
measuring,0x80085704,0x1487,2,0x00010f,data-pointer (fixed length),0x8008b974,code
measuring,0x80085710,0x1488,2,0x00010f,data-pointer (fixed length),0x8008b97c,code
measuring,0x8008571c,0x1489,2,0x00010f,data-pointer (fixed length),0x8008b984,code
measuring,0x80085728,0x148a,1,0x00020f,data-pointer (fixed length),0xd000aced,ram
measuring,0x80085734,0x148b,2,0x00010f,data-pointer (fixed length),0x8008b98c,code
measuring,0x80085740,0x148c,4,0x00010f,data-pointer (fixed length),0x8008b994,code
measuring,0x8008574c,0x148d,2,0x00010f,data-pointer (fixed length),0x8008b9a4,code
measuring,0x80085758,0x148e,2,0x00010f,data-pointer (fixed length),0x8008b9ac,code
measuring,0x80085764,0x148f,2,0x00010f,data-pointer (fixed length),0x8008b9b4,code
measuring,0x80085770,0x1490,2,0x00010f,data-pointer (fixed length),0x8008b9bc,code
measuring,0x8008577c,0x1491,2,0x00010f,data-pointer (fixed length),0x8008b9c4,code
measuring,0x80085788,0x1492,2,0x00010f,data-pointer (fixed length),0x8008b9cc,code
measuring,0x80085794,0x14a6,1,0x00020f,data-pointer (fixed length),0xd000b7f0,ram
measuring,0x800857a0,0x14d5,2,0x00010f,data-pointer (fixed length),0x8008b9d4,code
measuring,0x800857ac,0x14d6,2,0x00010f,data-pointer (fixed length),0x8008b9dc,code
measuring,0x800857b8,0x14d7,2,0x00010f,data-pointer (fixed length),0x8008b9e4,code
measuring,0x800857c4,0x14d8,2,0x00010f,data-pointer (fixed length),0x8008b9ec,code
measuring,0x800857d0,0x14d9,2,0x00010f,data-pointer (fixed length),0x8008b9f4,code
measuring,0x800857dc,0x14da,2,0x00010f,data-pointer (fixed length),0x8008b9fc,code
measuring,0x800857e8,0x14db,2,0x00010f,data-pointer (fixed length),0x8008ba04,code
measuring,0x800857f4,0x14dc,2,0x00010f,data-pointer (fixed length),0x8008ba0c,code
measuring,0x80085800,0x14dd,2,0x00010f,data-pointer (fixed length),0x8008ba14,code
measuring,0x8008580c,0x14de,2,0x00010f,data-pointer (fixed length),0x8008ba1c,code
measuring,0x80085818,0x14df,1,0x00020f,data-pointer (fixed length),0xd000228f,ram
measuring,0x80085824,0x14e0,1,0x00020f,data-pointer (fixed length),0xd0002290,ram
measuring,0x80085830,0x14e1,1,0x00020f,data-pointer (fixed length),0xd000a6b1,ram
measuring,0x8008583c,0x14e2,1,0x00020f,data-pointer (fixed length),0xd000a6b2,ram
measuring,0x80085848,0x14e3,2,0x00010f,data-pointer (fixed length),0x8008ba24,code
measuring,0x80085854,0x14e4,2,0x00010f,data-pointer (fixed length),0x8008ba2c,code
measuring,0x80085860,0x14e5,1,0x00020f,data-pointer (fixed length),0xd0002295,ram
measuring,0x8008586c,0x14e6,1,0x00020f,data-pointer (fixed length),0xd0002296,ram
measuring,0x80085878,0x14e7,1,0x00020f,data-pointer (fixed length),0xd000a6af,ram
measuring,0x80085884,0x14e8,1,0x00020f,data-pointer (fixed length),0xd000a6b0,ram
measuring,0x80085890,0x14e9,1,0x00020f,data-pointer (fixed length),0xd000b31a,ram
measuring,0x8008589c,0x14ea,1,0x00020f,data-pointer (fixed length),0xd000b314,ram
measuring,0x800858a8,0x14eb,2,0x00010f,data-pointer (fixed length),0x8008ba34,code
measuring,0x800858b4,0x1502,1,0x00020f,data-pointer (fixed length),0xd000a6c7,ram
measuring,0x800858c0,0x1503,1,0x00020f,data-pointer (fixed length),0xd000a6c8,ram
measuring,0x800858cc,0x1504,1,0x00020f,data-pointer (fixed length),0xd000a6c9,ram
measuring,0x800858d8,0x1505,1,0x00020f,data-pointer (fixed length),0xd000a6ca,ram
measuring,0x800858e4,0x1506,2,0x00010f,data-pointer (fixed length),0x8008ba3c,code
measuring,0x800858f0,0x1507,2,0x00010f,data-pointer (fixed length),0x8008ba44,code
measuring,0x800858fc,0x1508,2,0x00010f,data-pointer (fixed length),0x8008ba4c,code
measuring,0x80085908,0x1509,2,0x00010f,data-pointer (fixed length),0x8008ba54,code
measuring,0x80085914,0x14ec,2,0x00010f,data-pointer (fixed length),0x8008ba5c,code
measuring,0x80085920,0x150a,2,0x00010f,data-pointer (fixed length),0x8008ba64,code
measuring,0x8008592c,0x150b,1,0x00020f,data-pointer (fixed length),0xd000b2c6,ram
measuring,0x80085938,0x150c,2,0x00010f,data-pointer (fixed length),0x8008ba6c,code
measuring,0x80085944,0x150d,2,0x00010f,data-pointer (fixed length),0x8008ba74,code
measuring,0x80085950,0x150e,2,0x00010f,data-pointer (fixed length),0x8008ba7c,code
measuring,0x8008595c,0x150f,2,0x00010f,data-pointer (fixed length),0x8008ba84,code
measuring,0x80085968,0x1510,2,0x00010f,data-pointer (fixed length),0x8008ba8c,code
measuring,0x80085974,0x1511,2,0x00010f,data-pointer (fixed length),0x8008ba94,code
measuring,0x80085980,0x1512,2,0x00010f,data-pointer (fixed length),0x8008ba9c,code
measuring,0x8008598c,0x1513,1,0x00020f,data-pointer (fixed length),0xd000a621,ram
measuring,0x80085998,0x1514,1,0x00020f,data-pointer (fixed length),0xd000a61d,ram
measuring,0x800859a4,0x1515,1,0x00020f,data-pointer (fixed length),0xd000a61e,ram
measuring,0x800859b0,0x1516,1,0x00020f,data-pointer (fixed length),0xd000b2c4,ram
measuring,0x800859bc,0x155a,2,0x00010f,data-pointer (fixed length),0x8008baa4,code
measuring,0x800859c8,0x155b,1,0x00020f,data-pointer (fixed length),0xd000afb9,ram
measuring,0x800859d4,0x155c,1,0x00020f,data-pointer (fixed length),0xd000afba,ram
measuring,0x800859e0,0x1582,2,0x00010f,data-pointer (fixed length),0x8008baac,code
measuring,0x800859ec,0x1583,2,0x00010f,data-pointer (fixed length),0x8008bab4,code
measuring,0x800859f8,0x1584,2,0x00010f,data-pointer (fixed length),0x8008babc,code
measuring,0x80085a04,0x15aa,1,0x00020f,data-pointer (fixed length),0xd000ad84,ram
measuring,0x80085a10,0x15ab,1,0x00020f,data-pointer (fixed length),0xd000a7a3,ram
measuring,0x80085a1c,0x15ac,2,0x00010f,data-pointer (fixed length),0x8008bac4,code
measuring,0x80085a28,0x15ad,1,0x00020f,data-pointer (fixed length),0xd0009ebc,ram
measuring,0x80085a34,0x15d2,1,0x00020f,data-pointer (fixed length),0xd000561a,ram
measuring,0x80085a40,0x15d3,2,0x00010f,data-pointer (fixed length),0x8008bacc,code
measuring,0x80085a4c,0x15d4,4,0x00010f,data-pointer (fixed length),0x8008bad4,code
measuring,0x80085a58,0x15fa,1,0x00020f,data-pointer (fixed length),0xd000b28f,ram
measuring,0x80085a64,0x15fb,1,0x00020f,data-pointer (fixed length),0xd000a756,ram
measuring,0x80085a70,0x15fc,1,0x00020f,data-pointer (fixed length),0xd000a757,ram
measuring,0x80085a7c,0x15fd,1,0x00020f,data-pointer (fixed length),0xd000b295,ram
measuring,0x80085a88,0x15fe,1,0x00020f,data-pointer (fixed length),0xd000a5af,ram
measuring,0x80085a94,0x15ff,2,0x00010f,data-pointer (fixed length),0x8008bae4,code
measuring,0x80085aa0,0x1600,1,0x00020f,data-pointer (fixed length),0xd000b045,ram
measuring,0x80085aac,0x1601,1,0x00020f,data-pointer (fixed length),0xd000b28a,ram
measuring,0x80085ab8,0x1602,4,0x00010f,data-pointer (fixed length),0x8008baec,code
measuring,0x80085ac4,0x1603,1,0x00020f,data-pointer (fixed length),0xd000b289,ram
measuring,0x80085ad0,0x1604,2,0x00010f,data-pointer (fixed length),0x8008bafc,code
measuring,0x80085adc,0x1622,1,0x00020f,data-pointer (fixed length),0xd0009f18,ram
measuring,0x80085ae8,0x164a,1,0x00020f,data-pointer (fixed length),0xd000a647,ram
measuring,0x80085af4,0x16a6,2,0x00010f,data-pointer (fixed length),0x8008bb04,code
measuring,0x80085b00,0x16a7,2,0x00010f,data-pointer (fixed length),0x8008bb0c,code
measuring,0x80085b0c,0x16aa,1,0x00020f,data-pointer (fixed length),0xd000b7ff,ram
measuring,0x80085b18,0x16ab,1,0x00020f,data-pointer (fixed length),0xd000b800,ram
measuring-2,0x80085b30,0x16ae,1,0x00020f,data-pointer (fixed length),0xa004533b,cal
measuring-2,0x80085b3c,0x16a0,2,0x00010f,data-pointer (fixed length),0x8008bb14,code
measuring-2,0x80085b48,0x16a1,2,0x00010f,data-pointer (fixed length),0x8008bb1c,code
measuring-2,0x80085b54,0x16cc,1,0x00020f,data-pointer (fixed length),0xd0009eac,ram
measuring-2,0x80085b60,0x16cd,1,0x00020f,data-pointer (fixed length),0xd0009ec0,ram
measuring-2,0x80085b6c,0x16ce,1,0x00020f,data-pointer (fixed length),0xd000a7bb,ram
measuring-2,0x80085b78,0x16cf,1,0x00020f,data-pointer (fixed length),0xd000a7bd,ram
measuring-2,0x80085b84,0x16d0,1,0x00020f,data-pointer (fixed length),0xd000a370,ram
measuring-2,0x80085b90,0x16d1,1,0x00020f,data-pointer (fixed length),0xd000a372,ram
measuring-2,0x80085b9c,0x16d2,1,0x00020f,data-pointer (fixed length),0xd000a371,ram
measuring-2,0x80085ba8,0x16d3,1,0x00020f,data-pointer (fixed length),0xd000a373,ram
measuring-2,0x80085bb4,0x16d4,1,0x00030f,handler(buf) emits fixed length,0x801205a0,code
measuring-2,0x80085bc0,0x16d5,1,0x00020f,data-pointer (fixed length),0xd000b255,ram
measuring-2,0x80085bcc,0x16d6,1,0x00020f,data-pointer (fixed length),0xd000b256,ram
measuring-2,0x80085bd8,0x16d7,1,0x00020f,data-pointer (fixed length),0xd000b257,ram
measuring-2,0x80085be4,0x16d8,1,0x00020f,data-pointer (fixed length),0xd000b25b,ram
measuring-2,0x80085bf0,0x16d9,1,0x00020f,data-pointer (fixed length),0xd000b25c,ram
measuring-2,0x80085bfc,0x16da,1,0x00020f,data-pointer (fixed length),0xd000b25d,ram
measuring-2,0x80085c08,0x16db,1,0x00020f,data-pointer (fixed length),0xd000b258,ram
measuring-2,0x80085c14,0x16dc,1,0x00020f,data-pointer (fixed length),0xd000b259,ram
measuring-2,0x80085c20,0x16dd,1,0x00020f,data-pointer (fixed length),0xd000b25a,ram
measuring-2,0x80085c2c,0x16de,1,0x00020f,data-pointer (fixed length),0xd000b3a3,ram
measuring-2,0x80085c38,0x16df,17,0x00030f,handler(buf) emits fixed length,0x80122468,code
measuring-2,0x80085c44,0x16f0,1,0x00020f,data-pointer (fixed length),0xd000ae4a,ram
measuring-2,0x80085c50,0x16f1,1,0x00020f,data-pointer (fixed length),0xd000ae4f,ram
