can_id,dbc_message,dlc,frame_ram,source_ram,inv_ram,packer_addr
0x082,Getriebe_01,8,0xfff91c88,0xfff91c90,0xfff91c98,0x071fb4
0x083,Getriebe_02,8,0xfff91cb0,0xfff91cb8,0xfff91cc0,0x072044
0x390,WBA_01,4,0xfff91e60,0xfff91e68,0xfff91e70,0x071b80
