canid,dbc_name,sender,dir,in_msgcfg,in_cluster,gw_target,routine,state_ram
0x1dc,,,RX,,Y,,,
0x1dd,,,RX,Y,,0x167,0x91898,0x4048d4
0x1df,,,RX,,,0x167,,
0x1e1,CCP_MOS_CRO_01,Gateway_D4C7,RX,,Y,,,
0x1e4,,,RX,,Y,,,
0x1e7,,,RX,Y,,0x167,0x91898,0x4048e8
0x1e8,CCP_MO_DTO_01,Motor_EDC17_D4,RX,,Y,,,
0x1f3,,,RX,,Y,,,
0x1f5,,,RX,Y,,0x167,0x91898,0x4048ec
0x1f6,,,RX,,Y,,,
0x201,,,RX,,Y,,,
0x203,,,RX,Y,,0x167,0x91898,0x4048f0
0x204,,,RX,,Y,,,
0x20f,,,RX,,Y,,,
0x211,,,RX,Y,,0x167,0x908d4,0x4048f8
0x212,,,RX,,Y,,,
0x21d,,,RX,,Y,,,
0x21f,,,RX,,Y,0x167,,
0x220,,,RX,Y,,0x168,0x8e3ec,0x40457c
0x221,,,RX,Y,,,0x8e3ec,0x404578
0x222,,,RX,Y,,,0x8e3ec,0x404570
0x223,,,RX,Y,,,0x8e3ec,0x404574
0x224,,,RX,Y,,,0x8e3ec,0x404780
0x225,,,RX,Y,,,0x8e3ec,0x40458c
0x226,,,RX,Y,,,0x9036c,0x40490c
0x227,,,RX,Y,,,0x8e3ec,0x4045e8
0x228,,,RX,Y,,,0x8e3ec,0x4045e4
0x229,,,RX,Y,Y,0x168,0x8e3ec,0x404810
0x22a,,,RX,Y,Y,,0x8e3ec,0x404814
0x22b,,,RX,Y,Y,,0x8e3ec,0x40481c
0x22c,,,RX,Y,Y,,0x8e3ec,0x404818
0x22d,,,RX,Y,Y,,0x8e3ec,0x404820
0x233,,,RX,Y,,,0x8e3ec,0x404558
0x234,,,RX,Y,,,0x8e3ec,0x40455c
0x235,,,RX,Y,,0x168,0x8e3ec,0x404708
0x236,,,RX,Y,,,0x8e3ec,0x404700
0x237,,,RX,Y,,,0x8e3ec,0x4046f8
0x238,,,RX,Y,,,0x8e3ec,0x4046fc
0x239,,,RX,Y,,,0x8e3ec,0x4046f4
0x23a,,,RX,Y,,,0x8e3ec,0x4046e0
0x23b,,,RX,Y,,,0x8e3ec,0x4046d8
0x23c,,,RX,Y,,,0x8e3ec,0x4046dc
0x23d,,,RX,Y,,,0x8e3ec,0x404748
0x23e,,,RX,Y,,,0x8e3ec,0x404740
0x23f,,,RX,Y,,,0x8e3ec,0x404738
0x240,,,RX,Y,,,0x8e3ec,0x40473c
0x241,,,RX,,Y,,,
0x242,,,RX,Y,,,0x8e3ec,0x404734
0x243,,,RX,Y,,,0x8e3ec,0x404728
0x244,,,RX,Y,,,0x8e3ec,0x404744
0x245,,,RX,Y,,,0x8e3ec,0x404704
0x246,,,RX,Y,,,0x8e3ec,0x4046f0
0x247,,,RX,Y,,,0x8e3ec,0x4046ec
0x248,,,RX,Y,,,0x8e3ec,0x4046e8
0x249,,,RX,Y,,,0x8e3ec,0x4046e4
0x24a,,,RX,Y,,,0x8e3ec,0x40472c
0x24b,,,RX,,,0x168,,
0x251,,,RX,,,0x168,,
0x252,,,RX,,,0x168,,
0x253,,,RX,,Y,0x168,,
0x254,,,RX,Y,Y,0x168,0x8e3ec,0x404844
0x255,,,RX,Y,Y,,0x8e3ec,0x404848
0x256,,,RX,Y,Y,,0x8e3ec,0x404850
0x257,,,RX,Y,Y,,0x8e3ec,0x40484c
0x258,,,RX,Y,Y,,0x8e3ec,0x404854
0x264,,,RX,Y,,,0x8e3ec,0x404834
0x265,,,RX,Y,,,0x8e3ec,0x404830
0x267,,,RX,,,0x168,,
0x708,,,RX,,,0x90a,,
